現金
月	日	摘要	借方	貸方
1	1	前年より繰越	2,196		
1	1	おつり	5,000		
4	7	本日の売上	14,200		
4	9	本日の売上	4,950		
4	24	本日の売上	24,750		
5	3	本日の売上	33,000		
6	9	本日の売上	1,100		
6	13	本日の売上（体操教室）	550		
6	23	本日の売上	1,100		
6	27	本日の売上	22,000		
7	11	本日の売上	7,020		
7	15	本日の売上	22,000		
7	23	本日の売上	8,250		
8	7	本日の売上（ながよマルシェ）	5,000		
8	16	本日の売上	7,020		
8	27	本日の売上（現川分校マルシェ）	10,500		
9	8	本日の売上	6,050		
9	12	本日の売上	2,850		
9	26	本日の売上	4,950		
9	30	本日の売上	8,800		
10	1	本日の売上	6,050		
10	21	本日の売上	20,610		
10	31	本日の売上	3,300		
11	7	本日の売上	9,900		
11	13	本日の売上（ながよマルシェ）	6,200		
11	13	本日の売上	4,500		
11	14	本日の売上	3,300		
11	23	本日の売上	38,350		
11	28	本日の売上	2,850		
12	4	本日の売上（現川分校マルシェ）	11,000		
12	5	本日の売上	18,960		
12	6	本日の売上	2,850		
12	7	本日の売上（ベビマコラボ教室）	2,000		
12	10	本日の売上	2,850		
12	13	本日の売上	2,850		
12	15	本日の売上	2,850		
12	20	本日の売上	3,850		
12	22	本日の売上	27,000		
12	26	本日の売上	45,780		

仕入
月	日	摘要	借方	貸方
1	5	1月分仕入	37,115		
1	24	シートマスク仕入	21,450		
2	15	2月分仕入	7,150		
3	31	３月分仕入	10,725		
4	9	４月分仕入	53,820		
5	17	５月分仕入れ	7,150		
5	23	５月分仕入れ	52,533		
6	16	６月分仕入れ	18,500		
6	30	６月分仕入れ	56,712		
7	11	クーラントシート	35,750		
7	20	７月分仕入れ	5,616		
7	26	７月分仕入れ	21,281		
8	17	8月分仕入れ	38,779		
9	5	9月分仕入れ	18,382		
9	20	９月分仕入れ	46,039		
10	12	１０月分仕入れ	44,005		
10	24	１０月分仕入れ	122,746		
11	16	１１月分仕入れ	22,594		
11	28	亜鉛、オメガ３	25,272		
12	10	１２月分仕入れ	80,489		
12	15	１２月分仕入れ	73,034		
12	23	１２月分仕入れ	24,804		

荷造運賃
月	日	摘要	借方	貸方
1	5	送料	1,650		
3	31	送料	1,650		
4	9	送料	1,650		
5	23	送料	1,650		
6	30	送料	1,650		
7	26	送料	1,650		
9	20	送料	1,650		
10	12	送料	1,650		
10	24	送料	1,650		
12	10	送料	1,650		
12	15	送料	1,650		
12	23	送料	1,650		

損害保険料
月	日	摘要	借方	貸方
1	15	カイロプラクティック保険	18,000		

事業主貸
月	日	摘要	借方	貸方
1	20	自己消費	36,750		
2	15	自己消費	7,700		
3	31	自己消費	7,700		
4	8	4/7の売上	86,634		
4	9	飲み物、雑貨	811		
4	14	駐車場、仲介手数料、雑貨	11,380		
4	24	駐車場５月分	5,050		
4	25	個人の生活費	5,791		
5	26	生活費へ	30,000		
6	1	生活費へ	10,000		
7	26	駐車場代（８月分）	5,050		
8	26	駐車場代（９月分）	5,050		
8	27	生活費へ	10,000		
9	8	託児	2,100		
9	26	託児	700		
10	10	チラシスタンド	110		
10	13	生活費へ	10,000		
10	25	チラシスタンド（6個）	660		
11	2	生活費へ	10,000		
11	7	託児	1,400		
11	22	ファミサポ	700		
11	24	生活費へ	10,000		
12	4	生活費へ	6,650		
12	6	紙袋、髪留め	330		
12	13	託児	1,050		
12	22	生活費へ	5,000		

研修費
月	日	摘要	借方	貸方
2	21	冬期講習（オンライン）	6,000		
4	13	春ブロック会議参加費（オンライン）	34,000		
8	22	夏期講習（オンライン）	6,000		
10	22	ブロック会議	33,000		
12	24	支部会費	1,000		

雑費
月	日	摘要	借方	貸方
3	5	ノート	110		
3	15	飲み物、クイックルワイパー	974		
3	21	飲み物	265		
3	27	スリッパ	2,068		
3	31	綿棒	110		
3	31	蛍光ペン	110		
4	1	トイレクリーナー	198		
4	8	ティッシュ、マスク、飲み物	1,677		
4	12	画用紙、装飾シール	880		
4	23	ホワイトボードマーカ・クリーナー	440		
4	25	ポスカ	209		
4	27	ノート	190		
5	15	造花	220		
6	24	本	1,530		
7	3	マスク	931		
8	17	小物トレー	1,017		
8	18	布	319		
8	18	造花、カード、フォトフレーム	880		
8	20	衣装	2,970		
8	23	封筒	220		
8	26	洗面器（2個）	220		
8	27	お昼	2,000		
10	10	チラシスタンド	110		
10	13	文具、チラシ立て（２個）	330		
10	25	チラシスタンド（6個）	660		
10	25	ティッシュ	348		
11	1	マスク	1,298		
11	2	リフィル	440		
11	6	紙袋、雑貨	330		
12	4	消毒液カバー	1,500		
12	6	紙袋、髪留め	330		

車両関係費
月	日	摘要	借方	貸方
3	17	4月分駐車場	5,000		
5	1	ガソリン代	5,000		
5	6	ガソリン代	5,000		
5	26	駐車場代（６月分）	5,050		
